,NOC,Year,Medal
670,GER,1928,
671,USA,2008,
676,GDR,1972,
677,GDR,1972,Silver
678,GDR,1972,
679,GDR,1972,
680,GDR,1972,
681,GDR,1972,
682,CAN,2008,
683,CAN,2012,
684,CAN,2012,Bronze
685,CAN,2016,
686,CAN,2016,
687,GER,2008,
688,GER,2008,
689,GER,2008,
690,GER,2008,
691,GER,2008,
692,ESP,2000,
693,ESP,2004,
694,MON,1924,
695,MON,1936,
696,MON,1936,
697,MON,1948,
698,MON,1952,
699,MON,1952,
700,NOR,1920,Silver
701,CUB,2012,
702,ESP,1992,Gold
703,GER,2008,
704,GER,2016,
705,ISR,1960,
706,ISR,1960,
707,ISR,1960,
708,ISR,1960,
709,ISR,1960,
710,USA,1900,Gold
711,USA,1904,Gold
712,MEX,2016,
713,URU,1948,
717,ESP,1988,
718,ESP,1952,
719,CMR,1996,
720,ETH,2000,Gold
721,ETH,2016,
722,ARG,1968,
723,ARG,1972,
724,ARG,1976,
725,SWE,1912,
727,SWE,1912,Bronze
728,SWE,1912,Silver
729,SWE,1988,
730,FIN,1912,
731,SWE,1948,
732,SWE,1952,
733,MAR,2012,
739,USA,2000,Gold
740,RSA,1956,Bronze
741,RSA,1956,
742,ALG,1996,
744,ITA,1972,
745,TUR,2004,
746,TUR,2004,
747,TUR,2008,Silver
748,TUR,2008,
749,SRI,2000,
750,SRI,2000,
751,SRI,2016,
752,ARM,2016,
753,CIV,1992,
754,CIV,1996,
755,CIV,2008,
756,CIV,2008,
757,ESP,2008,
758,ESP,2012,
759,ESP,2016,
760,FRA,1984,
761,GDR,1988,
762,TUN,1988,
763,IRQ,1988,
764,NGR,1972,
765,NGR,1972,
766,KAZ,2008,
767,JPN,2008,
768,JPN,2012,
769,KEN,2016,
770,BUL,1976,
771,BUL,1980,Gold
772,FRA,2012,
773,FRA,2016,
774,NGR,2012,
775,NGR,2016,
776,BEN,1980,
777,BEN,1984,
779,RUS,2008,
780,AZE,2004,
781,BRA,2016,
785,GBR,1928,
786,GBR,1936,
787,USA,1932,Gold
788,RUS,2012,
789,RUS,2012,Bronze
790,RUS,2012,Silver
791,RUS,2012,
792,RUS,2012,
793,RUS,2012,
794,RUS,2016,Silver
795,RUS,2016,
796,RUS,2016,Silver
797,RUS,2016,Bronze
798,NED,1976,
799,CMR,2016,
800,GHA,1996,
801,NGR,2012,
802,URS,1972,
803,URS,1972,Silver
804,URS,1972,Bronze
805,URS,1972,
806,SOM,1972,
807,SOM,1972,
812,MDV,1988,
813,AUS,2016,
814,AUS,2016,Bronze
818,CMR,1984,
819,CMR,1984,
820,EGY,2016,
821,LIB,1968,
822,LIB,1968,
823,LIB,1968,
824,LIB,1968,
825,LIB,1972,
826,LIB,1972,
827,LIB,1972,
828,EGY,2000,
829,EGY,2008,
830,EGY,2016,
831,EGY,1952,
832,EGY,2000,
833,EGY,1984,
834,EGY,1992,
835,EGY,2000,
836,EGY,1984,
837,EGY,1948,
838,SYR,2000,
839,EGY,1948,
840,EGY,1952,
841,EGY,1976,
842,EGY,1984,
843,EGY,1984,
844,EGY,1948,
845,EGY,1948,
846,EGY,1952,
847,EGY,1952,
848,UAR,1960,
849,EGY,1964,
850,IRQ,1988,
851,MAR,2000,
852,NIG,1988,
853,QAT,2004,
854,QAT,2008,
855,IRQ,1992,
856,LBA,1988,
857,ALG,1984,
858,IRQ,1984,
859,ALG,2012,
860,EGY,2016,
861,EGY,2012,Silver
862,EGY,2012,
863,EGY,2016,
864,EGY,2016,
865,EGY,1992,
866,EGY,1968,
867,EGY,2004,
870,MLI,2004,
871,EGY,2012,
872,AFG,1956,
873,NGR,1972,
874,USA,1996,
875,GER,1912,
876,ROU,1936,
877,ROU,1936,
878,ROU,1936,
879,ROU,1936,
880,ROU,1936,
881,ROU,1936,
882,ROU,1936,
883,ROU,1936,
884,HUN,1988,Bronze
885,HUN,1988,Gold
886,HUN,1992,Silver
887,GER,1906,
888,GBR,1976,
889,GBR,1976,
890,GBR,1980,
891,GBR,1980,
892,GBR,1980,Bronze
893,CHI,2016,
894,SUI,2016,
895,IND,1984,
896,IND,1984,
897,IND,1988,
898,IND,1988,
899,IND,1992,
900,IND,1996,
901,POL,1980,
902,SWE,2000,
903,SWE,2004,Silver
904,SWE,2008,
905,FRA,1968,
906,RSA,2008,
907,CRC,1984,
908,CRC,1984,
909,PAN,1976,
910,PAN,1976,
911,GBR,1920,
912,GBR,1920,
913,GBR,1920,
914,GBR,1920,
915,GBR,1924,Gold
916,GBR,1924,
917,GBR,1924,Silver
918,GBR,1906,
919,GBR,1906,
920,GBR,1912,
921,NOR,1912,Gold
925,USA,1984,
926,USA,1972,
927,USA,1976,
929,SWE,1920,Bronze
930,SWE,1960,
931,SWE,1960,
932,SWE,1960,
933,SWE,1964,
934,SWE,1964,
937,USA,1972,
944,BLR,2016,
957,MAR,1992,
958,GEO,1996,
959,SLO,1996,
962,URS,1960,
963,RUS,2008,
964,RUS,2008,
965,URS,1964,
966,RUS,2004,Bronze
968,URS,1980,
969,URS,1988,
970,URS,1988,
971,URS,1964,Silver
980,GUY,2016,
981,GUY,1988,
982,NZL,1956,
983,NZL,1960,
984,GEO,2016,
985,POR,1988,
986,POR,1988,
987,POR,1992,
988,POR,1996,
989,POR,2008,
990,POR,2012,
991,POR,1988,
992,FRA,1996,
994,SUI,2012,
1003,POR,2016,
1004,CUB,1976,
1005,BRA,2004,
1006,POR,1968,
1007,POR,1968,
1008,POR,1968,
1009,POR,1968,
1010,POR,1968,
1011,POR,1968,
1012,POR,1968,
1013,PAR,1976,
1014,PAR,1976,
1015,PAR,1976,
1016,ANG,2008,
1017,BRA,1984,
1018,CUB,1980,
1019,VEN,1996,
1020,POR,1976,
1021,POR,1976,
1022,POR,1980,
1023,POR,1980,
1024,POR,1980,
1025,FRA,1988,
1026,COL,2012,
1027,COL,2016,
1028,COL,2012,
1029,ESP,2016,Bronze
1030,SWE,1912,
1031,SWE,1912,
1032,DJI,2016,
1033,RUS,2016,
1034,RUS,2000,
1035,RUS,2008,Bronze
1036,ROU,1952,
1037,ROU,1952,
1038,ROU,1952,
1039,ROU,1952,
1040,ROU,1952,
1041,ROU,1952,
1042,ROU,1952,
1043,URS,1980,Gold
1044,FRA,2004,Gold
1045,FRA,2008,Gold
1046,FRA,2012,
1047,FRA,2016,
1048,ETH,2012,
1049,USA,1988,
1051,FRG,1988,
1052,FRG,1988,
1054,IRI,2008,
1055,BAN,2008,
1056,IRQ,2004,
1057,KSA,1984,
1058,KSA,1984,
1059,JOR,2012,
1060,JOR,2016,
1061,MAS,1992,
1062,MAS,1996,
1063,PLE,1996,
1064,PLE,2012,
1065,EGY,1936,
1066,JOR,2000,
1067,JOR,2004,
1068,KAZ,1996,
1069,SUD,2004,
1070,SUD,2008,
1071,PLE,2004,
1072,CHN,2000,
1073,KEN,1988,
1074,NGR,2008,
1075,NGR,2008,
1076,PER,1968,
1077,PER,1964,
1078,PER,1968,
1079,LBA,2004,
1080,JOR,2016,Gold
1081,SOM,2004,
1082,JPN,1960,
1083,JPN,1960,
1084,JPN,1960,
1085,JPN,1960,
1086,JPN,1960,
1087,JPN,1960,
1088,JPN,1964,
1089,JPN,1964,Bronze
1090,JPN,1964,
1091,JPN,1964,
1092,JPN,1964,
1093,JPN,1964,
1094,PLE,2016,
1095,JOR,2012,
1096,KSA,2016,
1097,MEX,1996,
1098,KUW,1984,
1099,KUW,1984,
1100,JPN,2004,
1101,MEX,2004,
1102,URS,1976,
1103,URS,1976,
1104,URS,1980,
1105,URS,1980,Bronze
1106,URS,1980,Gold
1107,KAZ,2008,
1108,KAZ,2012,
1109,QAT,2004,
1110,JOR,1988,
1111,RUS,2008,
1112,RUS,2012,
1113,TUR,1968,
1114,TUR,1948,
1115,TUR,1948,
1116,TUR,1952,
1117,TUR,1952,
1118,FRA,1972,
1119,FRA,1976,
1120,ROU,2008,
1121,ROU,2008,Bronze
1122,ROU,2008,
1123,ROU,2008,
1124,FRA,1972,
1125,FRA,1976,
1126,FRA,2012,Gold
1127,ESP,1996,
1128,ITA,1948,
1129,ITA,1948,
1149,ITA,1908,
1150,CHI,1948,
1151,CHI,1948,
1152,CUB,2000,
1153,CUB,2012,
1154,ESP,1920,Silver
1155,ESP,1992,
1156,CHI,1960,
1157,USA,1928,
1158,ITA,1972,
1159,URU,1988,
1160,URU,1988,
1161,ESA,1968,
1162,PUR,1992,Bronze
1163,COL,1992,
