,NOC,Year,Medal
127525,NED,1964,
127526,NED,1964,
127527,POL,1956,
127528,POL,1960,
127529,TCH,1976,
127530,TCH,1980,
127531,YUG,1952,
127532,YUG,1952,
127533,YUG,1952,
127534,YUG,1952,
127535,YUG,1952,
127536,YUG,1952,
127537,YUG,1952,
127538,YUG,1952,
127539,NED,1936,
127540,POL,1960,
127541,GDR,1980,Gold
127543,FRG,1976,
127544,GRE,1948,
127545,SVK,1996,
127546,SVK,1996,
127547,FRA,1928,
127548,FRA,1928,
127550,GRE,1906,
127551,TCH,1948,
127552,TCH,1952,
127553,TCH,1952,
127554,URS,1976,Gold
127555,URS,1976,Gold
127556,URS,1980,Gold
127557,URS,1980,Gold
127558,GER,1900,Bronze
127559,TKM,2012,
127560,ISR,2016,
127561,CZE,2012,
127562,CZE,2016,Gold
127569,SVK,2000,
127570,SRB,2008,
127571,SRB,2012,
127572,YUG,1956,Silver
127573,YUG,1988,
127574,SCG,2004,
127575,YUG,1980,
127576,YUG,1980,
127577,YUG,1980,Gold
127578,THA,2016,Bronze
127581,SWE,1912,
127582,HUN,1980,
127583,HUN,1980,
127586,POL,1932,
127587,AUS,2004,
127588,GDR,1980,Silver
127589,USA,2012,
127590,NED,1936,
127591,GER,1936,Silver
127592,FRG,1984,
127593,FRG,1984,Gold
127594,USA,1908,
127595,FRA,1948,
127596,USA,2004,
127597,USA,2008,
127598,USA,2012,
127599,GBR,1988,
127600,GBR,1996,
127601,GER,1992,
127602,FRG,1968,
127603,ZIM,2016,
127607,LUX,1920,
127608,GER,1936,
127609,GER,1928,
127610,GER,1928,
127611,GER,2012,
127612,RSA,2000,Bronze
127613,RSA,2004,
127614,FIN,2008,
127615,GER,2016,Bronze
127616,FRG,1972,
127617,GDR,1980,Gold
127618,POL,1980,
127619,RSA,1996,
127620,GDR,1972,
127621,GER,1952,
127622,GDR,1980,Bronze
127623,GDR,1980,Bronze
127624,GER,1936,Silver
127626,SUI,1984,
127627,SUI,1984,
127628,GER,2008,
127629,GER,2012,
127630,GER,2016,
127631,USA,1920,
127632,RSA,2012,
127633,GER,1960,Silver
127643,RUS,2008,
127644,RUS,2004,
127645,RUS,2004,Silver
127646,UKR,2000,
127647,UKR,2000,
127648,URS,1980,
127649,URS,1980,
127650,URS,1980,Bronze
127651,NED,2016,
127652,NED,1996,
127653,USA,1956,
127654,NED,1976,
127655,NED,1984,
127656,NED,1984,
127657,NED,1988,Bronze
127658,NED,1948,Bronze
127659,NED,1952,Silver
127660,NED,1972,
127661,NED,1984,
127662,UKR,2008,
127663,RUS,1912,
127664,RUS,1912,
127665,LAT,1936,
127667,ARG,2000,
127668,ARG,2004,
127669,ARG,2008,
127670,POL,1992,
127671,POL,1992,
127672,POL,2016,
127673,NED,1952,
127674,NED,1952,
127675,NED,1952,
127676,NED,1952,
127677,NED,1952,
127678,NED,1952,
127679,NED,1952,
127680,FRG,1984,Silver
127682,LAT,2008,
127690,URS,1956,Silver
127691,URS,1960,Silver
127692,URS,1964,Silver
127693,BUL,1968,
127694,USA,1988,
127695,SLO,1996,
127696,SLO,1996,
127697,AUT,1952,
127698,GDR,1972,
127699,USA,2008,Silver
127701,GER,1906,
127702,GER,1906,
127703,GER,1908,
127704,GER,1908,
127705,GER,1908,
127706,LTU,2004,
127707,LTU,2008,Silver
127708,SRB,2016,
127709,SRB,2016,
127710,POL,2004,
127711,POL,2004,
127712,POL,1964,Bronze
127713,POL,1968,Bronze
127714,POL,1936,
127718,LTU,2004,
127719,LTU,2004,
127720,LTU,2008,
127721,LTU,2012,
127722,LTU,2012,
127723,LTU,2016,
127724,LTU,2016,
127725,USA,1904,
127726,USA,1904,
127727,USA,1904,
127728,USA,1904,
127729,URS,1988,
127730,KGZ,2004,
127731,KGZ,2008,
127735,GER,2000,
127736,GER,2000,
127737,GER,2000,Bronze
127738,GER,2004,
127739,GER,2004,
127740,GER,2004,Silver
127741,USA,1904,
127742,USA,1904,
127743,USA,1904,
127744,POL,1972,
127745,USA,1932,
127746,DEN,1920,
127747,ARG,1956,
127749,USA,1968,
127750,USA,1968,Silver
127751,GBR,2004,
127752,GBR,2008,
127753,GBR,2012,
127754,GBR,2012,
127755,GBR,2016,
127756,GBR,2016,
127757,USA,1912,
127758,USA,1912,Bronze
127759,AUT,1972,
127760,AUT,1972,
127761,FRG,1972,
127762,POL,2000,
127763,POL,2004,
127764,POL,2008,
127765,TCH,1972,
127766,RUS,2000,
127767,RUS,2004,
127771,URS,1952,
127772,URS,1952,
127773,URS,1956,
127774,URS,1960,
127775,URS,1960,Bronze
127776,RUS,2004,
127777,RUS,2008,
127778,RUS,2000,
127779,RUS,2004,
127780,HUN,2004,Silver
127781,URS,1952,Silver
127782,EST,1920,
127783,EST,1992,
127784,EST,1996,
127785,NED,1928,
127786,TCH,1924,
127787,POL,1968,
127788,POL,1968,
127789,POL,1968,
127790,POL,1968,
127791,POL,1968,
127792,POL,1968,
127793,POL,1968,
127794,POL,1968,
127795,POL,1972,
127796,POL,1972,
127797,POL,1972,
127798,POL,1972,
127799,POL,1972,
127800,POL,1972,
127801,POL,1972,
127802,POL,1972,
127803,SVK,2016,
127804,BLR,2000,
127805,BLR,2000,
127806,BLR,2000,
127807,BLR,2000,
127808,BLR,2000,
127809,BLR,2000,
127816,CAN,1984,
127817,CAN,1984,Silver
127818,KOS,2016,
127822,UKR,1996,Bronze
127823,UKR,2000,
127824,UKR,2004,
127825,RUS,2008,
127826,URS,1976,
127827,URS,1976,
127828,URS,1976,Silver
127829,URS,1976,
127830,URS,1980,Silver
127831,URS,1980,Silver
127832,URS,1980,Gold
127833,URS,1988,
127834,URS,1988,Gold
127838,URS,1976,Bronze
127839,UKR,2008,
127841,POL,1960,
127842,POL,2012,
127843,POL,2012,
127844,URS,1976,
127845,URS,1976,Silver
127846,URS,1976,
127847,URS,1976,
127848,URS,1976,
127849,URS,1976,
127850,URS,1976,
127851,URS,1976,
127852,POL,1952,
127853,TCH,1976,
127854,TCH,1980,
127855,URS,1980,Silver
127856,EUN,1992,
127857,URS,1952,
127858,URS,1952,
127859,RUS,2004,
127860,RUS,2004,Bronze
127861,RUS,2004,
127862,RUS,2004,
127863,RUS,2012,
127867,RUS,1996,
127868,RUS,1996,Gold
127869,RUS,1996,
127870,RUS,1996,
127871,RUS,1996,
127872,RUS,1996,
127873,RUS,1996,
127874,RUS,2000,
127875,RUS,2000,Bronze
127876,RUS,2000,
127877,RUS,2000,
127878,RUS,2000,
127879,RUS,2000,
127880,RUS,2000,
127881,RUS,2008,
127882,RUS,2008,
127883,RUS,2008,
127884,RUS,2008,
127885,RUS,2008,
127886,URS,1952,Silver
127887,URS,1956,
127889,UKR,2000,
127890,UKR,1996,
127891,URS,1960,
127892,URS,1964,
127893,URS,1980,Gold
127894,UKR,2012,
127895,UKR,2012,
127896,UKR,2016,
127897,UKR,2016,
127909,POL,1976,
127910,POL,1924,
127911,POL,1924,
127912,POL,1988,
127913,POL,1992,
127923,POL,1996,
127924,POL,1952,
127925,POL,1956,Gold
127926,POL,1960,Silver
127927,POL,1992,
127928,POL,1992,Bronze
127929,POL,1996,
127930,POL,1996,Silver
127931,POL,2000,
127932,POL,2000,
127933,POL,1960,
127934,POL,1972,
127935,POL,1976,
127936,POL,2000,
127937,POL,2000,
127938,POL,2004,
127939,POL,2004,
127940,POL,2016,
127941,CRO,1996,Silver
127942,CRO,2000,
127943,CRO,1992,
127944,CRO,1992,
127945,POL,1956,
127946,POL,1956,
127947,POL,1960,
127948,POL,1960,Gold
127952,POL,1952,
127953,POL,1928,
127954,POL,1988,
127955,HUN,2004,
127956,HUN,2004,
127958,AZE,1996,
127959,AZE,2012,
127960,RUS,1996,
127961,POL,1988,
127962,POL,1988,
127963,POL,1992,
127964,POL,1992,Bronze
127965,POL,1996,
127966,POL,1996,
127967,TUN,1972,
127968,POL,2012,
127969,POL,2016,
127970,USA,1920,
127971,GEO,2004,
127972,GEO,1996,Bronze
127973,GEO,2000,Bronze
127974,GEO,2004,
127975,GEO,2008,
127976,KOR,2016,Gold
127977,KOR,2016,Gold
127978,TPE,1984,
127979,TPE,1992,Silver
127980,HUN,1972,Silver
127981,HKG,1992,
127982,TPE,2000,
127983,TPE,2000,
127984,MAL,1960,
127985,CHN,1984,
127988,TCH,1968,
127989,TCH,1972,
127991,POL,1992,
127992,POL,1996,
127993,POL,2000,
127994,POL,2012,
127995,FRG,1976,Bronze
127996,AUT,1992,
127997,AUT,1992,
127998,CZE,2012,
127999,CZE,1996,
128000,CZE,1996,
128001,CZE,1996,
128002,CZE,1996,
128003,TCH,1960,Bronze
128004,TCH,1964,
128005,TCH,1992,
128006,CZE,1996,
128009,USA,2004,
128010,POL,1988,
128011,POL,1960,
128012,POL,1964,
128013,POL,2004,
128014,POL,1980,
128015,POL,2012,
128016,POL,2016,
128017,POL,1972,
128018,POL,1976,
128019,POL,1980,Bronze
128020,POL,1980,
128021,SVK,1996,
128022,SVK,2000,
128023,SVK,2000,
128024,POL,1964,
128025,POL,1964,
128026,POL,1964,
128027,POL,1964,
128028,POL,1964,
128029,POL,1964,
128030,POL,1964,
128031,POL,1964,
128032,POL,1968,
128033,POL,1968,
128034,POL,1968,
128035,POL,1968,
128036,POL,1968,
128037,POL,1968,
128038,POL,1968,
128039,POL,1968,
128040,POL,1972,
128041,POL,1972,
128042,POL,1972,
128043,POL,1972,
128044,POL,1972,
128045,POL,1972,
128046,POL,1972,
128047,POL,1972,
128048,POL,1968,
128049,POL,1968,
128050,POL,1968,
128051,POL,1968,
128052,POL,1968,
128053,POL,1968,
128054,POL,1968,
128055,POL,1968,
128056,POL,1972,
128057,POL,1972,
128058,POL,1972,
128059,POL,1972,
128060,POL,1972,
128061,POL,1972,
128062,POL,1972,
128063,POL,1972,
128064,POL,1964,
128065,POL,1964,
128066,POL,1964,
128067,POL,1964,
128068,POL,1964,
128069,POL,1964,
128070,POL,1964,
128071,POL,1964,
128072,POL,1968,
128073,POL,1968,
128074,POL,1968,
128075,POL,1968,
128076,POL,1968,
128077,POL,1968,
128078,POL,1968,
128079,POL,1968,
128080,POL,1972,
128081,POL,1972,
128082,POL,1972,
128083,POL,1972,
128084,POL,1972,
128085,POL,1972,
128086,POL,1972,
128087,POL,1972,
128088,TCH,1980,
128089,TCH,1980,
128090,TCH,1992,
128092,TCH,1964,
128093,TCH,1964,
128094,TCH,1964,
128095,TCH,1964,
128096,TCH,1964,
128097,TCH,1964,
128098,TCH,1964,
128099,TCH,1964,
128100,TCH,1968,
128101,TCH,1968,
128102,TCH,1968,
128103,TCH,1968,
128104,TCH,1968,
128105,TCH,1968,
128106,TCH,1968,
128107,TCH,1968,
128108,POL,1932,
128109,POL,1936,
128110,TCH,1964,
128111,TCH,1964,Silver
128112,TCH,1964,
128113,TCH,1964,
128114,TCH,1964,
128115,TCH,1964,
128116,TCH,1968,
128117,TCH,1968,Silver
128118,TCH,1968,
128119,TCH,1968,
128120,TCH,1968,
128121,TCH,1968,
128122,AUT,1936,
128128,HUN,1936,
128129,BOT,1996,
128130,BOT,2000,
128131,BOT,2000,
128132,BOT,2004,
128133,TCH,1988,
128134,TCH,1980,
128135,TCH,1980,
128137,GER,1936,Silver
128138,POL,1992,
128139,POL,1992,
128140,LAT,2008,
128141,JPN,1972,
128142,JPN,1972,
128143,JPN,1976,
128144,JPN,1976,
128146,JPN,1964,
128147,JPN,1972,
128148,JPN,1976,
128149,JPN,1996,
128150,JPN,1996,
128151,JPN,1972,
128152,JPN,1976,
128153,JPN,2016,
128154,JPN,2008,
128155,JPN,2008,
128156,JPN,2012,
128157,JPN,2016,
128158,JPN,1960,
128159,LUX,1924,
128160,LUX,1928,
128161,LUX,1928,
128162,POL,2012,
128163,POL,2016,
128164,POL,2016,
128165,JPN,1936,
128166,JPN,1936,
128167,JPN,1956,
128168,JPN,1956,
128169,JPN,1956,
128170,JPN,1956,
128171,JPN,1956,
128172,JPN,1956,
128173,JPN,1956,
128174,JPN,1956,
128175,JPN,1956,Silver
128176,JPN,1956,
128177,JPN,1956,
128178,JPN,1956,Silver
128179,JPN,1956,
128180,JPN,1956,Bronze
128181,JPN,1956,
128184,JPN,1960,
128185,RUS,2000,
128186,KAZ,2008,
128187,BOH,1912,
128188,BOH,1912,
128189,BOT,1988,
128190,GER,2008,
128191,GER,2008,
128192,POL,2008,
128193,POL,2008,
128194,POL,2012,
128195,POL,2012,
128196,SCG,2004,
128197,SCG,2004,
128198,MNE,2008,
128199,ALB,2012,
128200,ALB,2012,
128201,TCH,1988,
128202,TCH,1992,
128203,SVK,1996,
128209,SVK,1996,
128210,SVK,1996,
128211,SVK,2000,
128212,SVK,2000,
128213,SVK,2004,
128214,SVK,2016,
128225,TCH,1992,
128226,CZE,1996,
128227,CZE,2000,
128230,TCH,1964,
128231,TCH,1968,
128232,TCH,1980,
128233,TCH,1980,
128234,TCH,1980,
128235,TCH,1980,
128236,TCH,1980,
128237,TCH,1980,
128238,TCH,1980,
128239,TCH,1980,
128241,GER,1936,
128242,GER,1936,
128243,USA,2016,Bronze
128244,POL,1924,
128245,POL,1960,
128246,POL,1960,
128247,POL,1960,
128248,POL,1960,
128249,POL,1960,
128250,POL,1960,
128251,POL,1960,
128252,POL,1960,
128253,POL,1964,
128254,POL,1964,
128255,POL,1964,
128256,POL,1964,
128257,POL,1964,
128258,POL,1964,
128259,POL,1964,
128260,POL,1964,
128261,POL,1988,
128262,POL,1992,
128263,POL,1996,
128264,POL,2000,
128265,HUN,1932,
128266,POL,1936,
128267,POL,1936,
128268,POL,1988,
128269,POL,1988,
128270,POL,1992,
128271,POL,2000,Gold
128272,POL,2004,Gold
128273,POL,1996,
128274,SUI,1920,
128275,SUI,1920,Bronze
128276,SUI,1920,Bronze
128277,SUI,1920,
128278,SUI,1920,
128279,SUI,1920,
128280,SUI,1920,Bronze
128281,GER,1936,
128282,RUS,2008,
128283,RUS,2012,
128284,RUS,2012,
128285,BUL,1968,
128286,BUL,1972,Silver
128290,URS,1968,Bronze
128291,URS,1968,Gold
128292,URS,1968,Bronze
128293,URS,1968,
128294,URS,1968,
128295,URS,1968,Gold
128296,BLR,2008,
128297,UZB,2012,
128298,FRG,1972,
128299,GER,2000,
128300,SUI,1988,
128301,SUI,1992,
128302,BLR,2004,
128303,BLR,2008,
128304,UZB,1996,
128305,UZB,2000,
128306,POL,1972,
128307,POL,1976,Bronze
128308,URS,1952,
128309,POL,1980,
128310,URS,1988,
128311,POL,2004,
128312,TCH,1964,
128313,TCH,1968,
128314,TCH,1968,
128315,TCH,1972,
128316,TCH,1972,
128317,POL,1952,
128318,POL,1952,
128319,POL,1952,
128320,POL,1952,
128321,POL,1952,
128322,POL,1952,
128323,POL,1952,
128324,POL,1952,
128325,USA,1928,Gold
128331,SVK,2012,
128332,SVK,2016,
128333,HUN,2008,
128334,HUN,2008,
128335,HUN,1968,
128336,HUN,1968,
128337,HUN,1968,
128338,HUN,1968,
128339,TCH,1924,
128340,HUN,1972,
128343,TUR,1948,
128344,TUR,1972,
128345,TUR,1976,
128346,TUR,1976,
128347,TUR,1960,
128348,TUR,2012,
128349,TUR,1996,
128350,POL,2012,
128351,POL,2008,
128352,POL,1960,
128353,POL,2008,
128354,POL,2008,
128355,POL,2012,
128356,POL,2012,
128357,CAN,2008,
128358,NGR,2000,
128359,NGR,2004,
128361,UZB,2012,
128362,CZE,2016,
128363,BLR,2012,
128364,POL,1972,
128365,URS,1968,
128366,EUN,1992,Gold
128367,RUS,1996,
128368,RUS,2000,Gold
128369,RUS,2004,Bronze
128370,KAZ,2012,
128371,KAZ,2016,
128372,URS,1976,
128373,GER,2016,Bronze
128374,USA,2016,
128375,CZE,2008,
128376,CZE,2012,
128377,CZE,2016,
128378,POL,1972,
128379,SYR,1980,
128380,JPN,1968,
128381,JPN,1976,Bronze
128393,POL,1964,
128394,URS,1972,Gold
128395,BLR,1996,
128396,UKR,2012,
128397,TCH,1948,Gold
128398,TCH,1952,Silver
128399,TCH,1960,
128400,TCH,1964,
128403,EUN,1992,
128404,EUN,1992,Gold
128405,RUS,2016,Silver
128406,URS,1988,
128407,RUS,2008,Bronze
128408,RUS,2012,Silver
128409,URS,1968,
128416,POL,2016,
128417,POL,1952,
128418,CAN,1956,Silver
128419,USA,2000,
128420,USA,1920,Gold
128426,FRA,1924,
128427,BRA,2000,
128428,BRA,2000,
128429,BRA,2004,
128430,BRA,2004,
128431,CMR,1992,
128432,BEN,1992,
128433,BEN,1996,
128434,BEN,2000,
128435,CZE,2016,
128436,SUI,1992,
128437,GER,2012,Gold
128438,GER,2016,Silver
128439,GHA,1992,Bronze
128440,GHA,1996,
128441,SWE,1928,
128442,SWE,1928,
128443,SWE,1912,
128444,SWE,1912,
128445,LUX,1936,
128446,LUX,1936,
128447,LUX,1936,
128448,LUX,1936,
128449,LUX,1936,
128450,LUX,1936,
128451,LUX,1936,
128452,LUX,1936,
128453,LUX,1948,
128454,LUX,1948,
128455,LUX,1948,
128456,LUX,1948,
128457,LUX,1948,
128458,LUX,1948,
128459,LUX,1948,
128460,LUX,1948,
128461,LUX,1952,
128462,LUX,1952,
128463,LUX,1952,
128464,LUX,1952,
128465,LUX,1952,
128466,LUX,1952,
128467,LUX,1952,
128468,LUX,1952,
128469,LUX,1960,
128470,HUN,2016,
128471,GER,1904,Bronze
128472,GER,1904,Bronze
128473,GER,1904,Bronze
128474,GER,1904,Silver
128475,FRG,1968,
128476,HUN,1908,
128480,GER,1960,
128481,GER,1960,
128482,GER,1964,
128483,GER,1956,
128484,GER,1956,
128487,GDR,1988,Silver
128488,GDR,1988,
128489,GER,1992,
128490,GER,1992,
128491,GER,1992,
128493,USA,1932,Bronze
128494,FRA,2012,
128495,FRA,2012,
128496,FRA,2012,
128497,FRA,2012,
128498,FRA,2012,
128500,SUI,1988,
128501,SUI,1988,
128502,SUI,1992,
128503,GER,2004,Gold
128504,GER,2008,
128508,FRG,1988,Bronze
128509,SUI,1928,Bronze
128510,SUI,1928,
128511,GDR,1980,
128512,GDR,1980,Silver
128515,GER,1936,
128516,FRA,1992,
128519,LUX,1924,
128520,LUX,1924,
128521,GER,2016,Bronze
128522,TCH,1936,
128523,AUT,1936,
128524,AUT,1936,
128526,FRG,1988,
128527,GER,1992,
128528,CAN,1960,Silver
128529,SUI,2004,
128530,SUI,2008,
128531,SUI,2012,
128533,GDR,1972,
128535,GDR,1980,
128536,GDR,1980,
128537,GDR,1980,Silver
128538,GDR,1980,
128540,GER,1992,
128541,GER,1996,
128542,GDR,1972,Gold
128543,GER,2004,
128544,AUT,1924,
128545,GER,1996,
128546,GDR,1988,
128547,GER,2000,
128548,GER,2004,
128549,GER,2008,
128550,GER,2012,
128551,GER,2008,
128552,GER,2012,
128553,GER,2000,
128554,GER,2004,
128566,FRG,1972,
128567,AUT,2012,
128568,AUT,2016,
128569,GER,1992,Silver
128570,GER,1996,
128572,GER,1964,Gold
128573,FRG,1968,
128574,FRG,1972,Bronze
128575,FRG,1976,
128576,FRG,1984,
128577,CHN,1996,
128578,CHN,1996,
128579,CHN,1996,
128580,CHN,1996,
128581,CHN,1996,
128582,CHN,2000,
128583,CHN,2000,
128584,CHN,2000,
128585,CHN,2000,
128586,CHN,2000,
128587,NED,2016,
128588,NED,2016,
128589,NED,1928,
128590,NED,1948,
128591,NED,1948,
128592,NED,1948,
128593,NED,1948,
128594,BEL,2000,
128595,NED,1968,
128596,NED,2008,
128598,NED,1972,Gold
128599,NED,1972,
128600,NED,1996,
128601,NED,1996,
128602,NED,2000,
128603,NED,1996,Bronze
128604,NED,1936,
128605,NED,1920,Bronze
128606,NED,2000,
128615,FIN,1960,
128616,FIN,1956,
128617,FIN,1960,
128618,FIN,1992,
128619,FIN,1956,
128620,FIN,1956,
128621,RSA,1960,
128622,RSA,1960,
128623,RSA,1960,
128624,RSA,1960,
128625,RSA,1960,
128636,FIN,1948,
128637,FIN,1952,
128638,GER,1992,
128639,POL,2008,
128640,POL,1980,
128641,POL,1980,
128642,YUG,1948,
128643,YUG,1948,
128644,YUG,1948,
128645,YUG,1948,
128646,YUG,1948,
128647,YUG,1948,
128648,YUG,1948,
128649,YUG,1948,
128650,BLR,2000,
128651,BLR,2004,
128652,BLR,2016,
128653,ROU,1976,
128654,ROU,1976,
128655,ROU,1980,
128656,ROU,1980,
128657,ROU,1980,
128658,ROU,1984,
128659,POL,1952,
128660,POL,1956,
128661,POL,1960,
128662,EST,1920,
128663,EST,1936,
128664,EST,1928,
128665,EST,2008,
128666,EST,2004,
128667,FIN,1912,
128668,FIN,1912,
128669,FIN,1912,
128670,FIN,1972,
128671,FIN,1972,
128672,FIN,1976,
128673,FIN,1976,
128678,AUS,2012,Gold
128685,URS,1964,
128686,LAT,1996,
128687,YUG,1988,Silver
128688,CRO,1992,Silver
128689,CRO,1996,
128690,SRB,2016,
128691,USA,2012,
128692,UKR,2012,
128693,UKR,2012,
128694,UKR,2012,
128695,UKR,2012,
128696,UKR,2012,
128697,UKR,2012,
128698,UKR,2012,
128699,RUS,2016,
128700,RUS,2016,Silver
128701,RUS,2016,
128702,RUS,2016,
128703,RUS,2016,
128704,RUS,2016,
128705,RUS,2016,
128706,URS,1972,Bronze
128707,KAZ,2000,
128708,COD,2016,
128709,KAZ,2012,
128710,TUR,1936,
128711,TUR,1936,
128712,URS,1980,Gold
128714,POL,2012,
128715,URS,1980,Silver
128717,RUS,2012,
128718,RUS,2016,
128731,GER,2004,
128732,SRI,1992,
128733,SRI,1996,
128734,SRI,2000,
128735,URS,1956,Silver
128736,GER,2016,
128737,HUN,2000,Silver
128738,HUN,2004,
128739,HUN,1960,Bronze
128740,HUN,1964,Silver
128741,HUN,1968,Bronze
128742,HUN,1972,
128743,HUN,1964,
128744,HUN,1964,Gold
128745,HUN,1968,Gold
128746,HUN,1968,Gold
128747,HUN,1972,Bronze
128748,HUN,1972,Gold
128749,HUN,1976,Bronze
128750,HUN,1976,
128751,SUI,1972,
128752,SUI,1972,
128753,HUN,1952,
128754,HUN,1992,
128755,HUN,1992,Silver
128756,HUN,1996,
128757,HUN,1996,
128758,HUN,2004,Silver
128759,HUN,2008,
128760,HUN,2008,
128761,HUN,1972,
128762,HUN,1972,
128763,POL,1976,
128764,POL,1972,
128766,URS,1976,
128767,POL,1964,Gold
128768,POL,1968,Gold
128770,BLR,2008,
128771,BLR,2012,Bronze
128772,RUS,2000,Silver
128773,RUS,2004,Bronze
128774,RUS,2008,Bronze
128775,URS,1972,
128776,RUS,1996,
128777,RUS,2004,Bronze
128782,MKD,2000,
128786,POL,1980,
128787,POL,2012,
128788,POL,2012,
128789,POL,2012,
128790,POL,2012,
128791,POL,2012,
128792,POL,2012,
128793,POL,1936,
128794,POL,1936,Silver
128795,POL,2012,
128796,POL,2012,
128797,TCH,1960,
128801,CZE,2004,
128802,CZE,2008,
128803,CZE,2012,Gold
128804,CZE,2016,Silver
128805,URS,1980,
128806,CZE,2004,
128807,CZE,2008,
128808,CZE,2012,
128809,UKR,1996,
128810,HUN,2012,Silver
128811,KGZ,1996,
128812,KGZ,2000,
128814,RUS,1912,
128815,EUN,1992,
128816,EUN,1992,Silver
128817,RUS,1996,Bronze
128818,RUS,1996,Silver
128821,RUS,1996,
128822,URS,1968,
128823,URS,1968,
128824,URS,1968,Silver
128825,URS,1968,Bronze
128826,URS,1972,
128827,URS,1972,
128828,URS,1972,Silver
128829,URS,1972,Bronze
128830,URS,1972,
128831,HUN,1960,
128832,RUS,2000,Gold
128833,UKR,2012,
128834,UKR,2012,
128835,UKR,2012,
128836,UKR,2016,Silver
128837,UKR,2016,
128838,UKR,2016,
128839,SCG,2000,Bronze
128840,YUG,1980,
128841,IND,1948,
128842,NED,1988,
128843,KAZ,2012,
128844,RUS,2008,
128847,URS,1952,Silver
128848,SWE,1912,Gold
128849,SWE,1912,
128850,GER,2016,
128851,SOM,1984,
128852,SOM,1988,
128853,THA,2012,
128854,THA,2016,
128855,FIN,1952,
128856,GEO,1996,
128857,TUR,2000,
128861,EUN,1992,
128862,BLR,2008,
128864,SWE,1996,
128865,SWE,2000,
128866,HUN,1924,
128867,URS,1988,
128868,UKR,2008,
128870,URS,1972,
128871,ETH,1980,
128872,JPN,1988,
128873,JPN,1920,Silver
128874,JPN,1920,Silver
128879,JPN,1960,
128880,JPN,2012,Silver
128881,GHA,1992,Bronze
128882,BRA,2012,
128883,BRA,2012,
128884,BRA,2016,
128885,BRA,2016,
128886,JPN,2008,
128887,IND,2004,
128888,IND,2008,
128889,IND,1948,Gold
128890,IND,1956,Gold
128891,IND,2012,
128892,IND,1992,
128893,IND,2004,
128894,IND,1992,
128895,IND,1972,Bronze
128896,IND,1976,
128897,IND,1988,
128900,IND,1980,Gold
128901,IND,1984,
128902,IND,2008,
128903,IND,1988,
128904,IND,2000,
128905,IND,2004,
128906,IND,2008,
128907,IND,2012,
128908,IND,2016,
128909,IND,1988,
128910,IND,1968,
128911,IND,1972,
128912,IND,1988,
128913,IND,2004,
128914,AUS,2008,
128915,IND,2016,
128916,IND,1996,
128917,IND,2012,
128918,IND,1996,
128919,IND,1980,
128921,IND,1968,
128922,IND,1968,
128923,IND,1972,
128924,IND,1988,
128925,IND,2016,
128926,IND,2004,
128927,IND,2008,Bronze
128928,IND,2012,Silver
128929,IND,2012,
128930,IND,2012,Silver
128931,IND,1992,
128932,IND,1992,
128933,IND,1988,
128934,IND,1992,
128935,IND,2000,
128936,IND,2004,
128937,IND,1984,
128938,MAS,1988,
128939,MAS,1988,
128940,MAS,1992,
128941,MAS,1992,
128942,MAS,1992,
128943,IND,2012,
128944,IND,2012,
128945,IND,2016,
128946,IND,2016,
128947,IND,2004,
128948,IND,2004,
128949,IND,2012,
128950,RSA,2008,
128951,GER,1996,Gold
128952,GER,2000,Bronze
128953,GER,2004,
128954,BUL,2016,
128955,JPN,1984,
128956,JPN,1984,
128957,SWE,1908,Bronze
128958,SWE,1908,
128959,SWE,1912,Silver
128960,SWE,1920,Bronze
128961,POL,1960,
128962,FRG,1984,
128975,SUI,1936,
128977,GDR,1988,Gold
128978,LUX,1912,
128979,LUX,1912,
128984,GER,1960,
128985,TUR,1972,
128987,FIN,1912,
128988,THA,1992,
128989,URS,1988,Gold
128990,HUN,1948,
128991,HUN,1960,
128992,SWE,1996,
128993,TPE,1968,
128994,TPE,1968,
128995,HUN,1952,Silver
128996,HUN,1956,
128997,HUN,1964,
128998,HUN,1968,
128999,HUN,1972,
129000,RUS,1912,
129002,HUN,1988,
129003,HUN,1992,
129004,HUN,1996,
129005,CRO,2008,
129006,RUS,2008,Silver
129007,MAS,1964,
129008,SGP,1968,
129009,SGP,1968,
129011,FIJ,2016,Gold
129012,AUT,1960,
129013,AUT,1960,
129025,POL,2000,
129026,POL,1928,
129027,BUL,1972,
129028,INA,2004,Bronze
129029,INA,2008,
129030,HUN,1980,Bronze
129031,USA,1964,
129032,BLR,2008,
129033,ZAM,1972,
129034,YUG,1972,
129035,YUG,1972,
129036,YUG,1972,
129037,YUG,1972,
129038,YUG,1972,
129039,YUG,1972,
129040,CMR,1984,
129041,BOH,1912,
129042,BOH,1912,
129043,TCH,1920,
129044,TCH,1920,
129045,TCH,1924,
129046,TCH,1924,
129047,LTU,1996,
129048,LAT,1936,
129049,NED,1960,
129050,RSA,1996,
129051,TPE,2016,
129054,SUI,1988,
129055,SUI,1992,
129058,PNG,1992,
129059,PNG,1996,
129061,JPN,2004,
129062,GER,1912,
129063,GER,1912,
129064,SUI,1968,
129065,GDR,1980,Bronze
129067,USA,1932,
129068,IND,2004,
129069,USA,2000,
129070,USA,2004,
129071,FIN,1924,
129072,FIN,1924,
129073,FIN,1924,
129074,FIN,1924,
129075,FIN,1924,
129076,FIN,1924,
129077,FIN,1924,
