NOC,Year,Total_Gold,Total_Silver,Total_Bronze
CUB,1904,376.0,587.0,583.0
CUB,1948,376.0,587.0,583.0
CUB,1964,376.0,587.0,583.0
CUB,1968,376.0,587.0,583.0
CUB,1972,376.0,587.0,583.0
CUB,1976,376.0,587.0,583.0
CUB,1980,376.0,587.0,583.0
CUB,1992,376.0,587.0,583.0
CUB,1996,376.0,587.0,583.0
CUB,2000,376.0,587.0,583.0
CUB,2004,376.0,587.0,583.0
CUB,2008,376.0,587.0,583.0
CUB,2012,376.0,587.0,583.0
CUB,2016,376.0,587.0,583.0
CYP,2012,1275.0,1249.0,1275.0
CZE,1996,911.0,844.0,837.0
CZE,2000,911.0,844.0,837.0
CZE,2004,911.0,844.0,837.0
CZE,2008,911.0,844.0,837.0
CZE,2012,911.0,844.0,837.0
CZE,2016,911.0,844.0,837.0
DEN,1896,345.0,366.0,437.0
DEN,1900,345.0,366.0,437.0
DEN,1906,345.0,366.0,437.0
DEN,1908,345.0,366.0,437.0
DEN,1912,345.0,366.0,437.0
DEN,1920,345.0,366.0,437.0
DEN,1924,345.0,366.0,437.0
DEN,1928,345.0,366.0,437.0
DEN,1932,345.0,366.0,437.0
DEN,1936,345.0,366.0,437.0
DEN,1948,345.0,366.0,437.0
DEN,1952,345.0,366.0,437.0
DEN,1956,345.0,366.0,437.0
DEN,1960,345.0,366.0,437.0
DEN,1964,345.0,366.0,437.0
DEN,1968,345.0,366.0,437.0
DEN,1972,345.0,366.0,437.0
DEN,1976,345.0,366.0,437.0
DEN,1980,345.0,366.0,437.0
DEN,1984,345.0,366.0,437.0
DEN,1988,345.0,366.0,437.0
DEN,1992,345.0,366.0,437.0
DEN,1996,345.0,366.0,437.0
DEN,2000,345.0,366.0,437.0
DEN,2004,345.0,366.0,437.0
DEN,2008,345.0,366.0,437.0
DEN,2012,345.0,366.0,437.0
DEN,2016,345.0,366.0,437.0
DJI,1988,1275.0,1275.0,1238.0
DOM,1984,1108.0,1185.0,1199.0
DOM,2004,1108.0,1185.0,1199.0
DOM,2008,1108.0,1185.0,1199.0
DOM,2012,1108.0,1185.0,1199.0
DOM,2016,1108.0,1185.0,1199.0
ECU,1996,1200.0,1249.0,1275.0
ECU,2008,1200.0,1249.0,1275.0
EGY,1928,1010.0,1062.0,1080.0
EGY,1936,1010.0,1062.0,1080.0
EGY,1948,1010.0,1062.0,1080.0
EGY,1952,1010.0,1062.0,1080.0
EGY,1984,1010.0,1062.0,1080.0
EGY,2004,1010.0,1062.0,1080.0
EGY,2008,1010.0,1062.0,1080.0
EGY,2012,1010.0,1062.0,1080.0
EGY,2016,1010.0,1062.0,1080.0
ERI,2004,1275.0,1275.0,1238.0
ESP,1900,544.0,311.0,568.0
ESP,1920,544.0,311.0,568.0
ESP,1928,544.0,311.0,568.0
ESP,1932,544.0,311.0,568.0
ESP,1948,544.0,311.0,568.0
ESP,1952,544.0,311.0,568.0
ESP,1960,544.0,311.0,568.0
ESP,1972,544.0,311.0,568.0
ESP,1976,544.0,311.0,568.0
ESP,1980,544.0,311.0,568.0
ESP,1984,544.0,311.0,568.0
ESP,1988,544.0,311.0,568.0
ESP,1992,544.0,311.0,568.0
ESP,1996,544.0,311.0,568.0
ESP,2000,544.0,311.0,568.0
ESP,2004,544.0,311.0,568.0
ESP,2008,544.0,311.0,568.0
ESP,2012,544.0,311.0,568.0
ESP,2016,544.0,311.0,568.0
EST,1920,979.0,997.0,930.0
EST,1924,979.0,997.0,930.0
EST,1928,979.0,997.0,930.0
EST,1936,979.0,997.0,930.0
EST,1992,979.0,997.0,930.0
EST,2000,979.0,997.0,930.0
EST,2004,979.0,997.0,930.0
EST,2008,979.0,997.0,930.0
EST,2012,979.0,997.0,930.0
EST,2016,979.0,997.0,930.0
ETH,1960,854.0,1033.0,946.0
ETH,1964,854.0,1033.0,946.0
ETH,1968,854.0,1033.0,946.0
ETH,1972,854.0,1033.0,946.0
ETH,1980,854.0,1033.0,946.0
